# {'semester': 'NA', 'session': 'ses18-1.txt', 'student': 'n', 'age': '34', 'tstamp': '20160626_1526', 'id': '18', 'sex': 'f'}
city_left;city_right;response;rt
Ibadan;Wuhan;Ibadan;1.5971
Kano;Montreal;Montreal;2.2325
Shanghai;Tokio;Shanghai;3.3258
Tokio;Kano;Tokio;1.2503
Tokio;Durban;Tokio;0.6637
Busan;Tokio;Tokio;1.3965
London;Chongqing;London;0.9835
Kano;Chongqing;Kano;1.5771
Busan;Bangkok;Bangkok;1.1546
Wuhan;Durban;Durban;2.3375
Montreal;Rangun;Montreal;3.0220
Chongqing;Ibadan;Ibadan;2.2355
Rangun;Busan;Rangun;2.0139
Ankara;Seoul;Seoul;1.2594
Harbin;Durban;Harbin;1.7179
Durban;Rangun;Durban;2.2510
Wuhan;Montreal;Montreal;0.9553
Busan;Wuhan;Busan;1.8966
Chongqing;Busan;Busan;1.5143
Durban;Seoul;Seoul;1.1044
Bangkok;Seoul;Seoul;2.3690
Tianjin;London;London;1.5522
Chongqing;Tokio;Tokio;1.0872
Durban;Montreal;Montreal;1.5045
Ankara;Wuhan;Ankara;1.3665
Ankara;London;Ankara;2.1105
Ankara;Montreal;Montreal;3.4201
Busan;Ankara;Ankara;1.4658
Kano;Rangun;Kano;2.1358
Busan;Ibadan;Ibadan;1.8199
Santiago;Rangun;Santiago;1.2764
Shanghai;Wuhan;Shanghai;1.8252
Chongqing;Shanghai;Shanghai;1.3148
Bangkok;Wuhan;Bangkok;1.7329
Durban;Chongqing;Durban;1.4084
Bangkok;Kano;Bangkok;1.4495
Chongqing;Bangkok;Bangkok;1.4672
Shanghai;Tianjin;Shanghai;1.8997
Rangun;Ibadan;Ibadan;2.2552
Kano;Santiago;Santiago;1.3371
Shanghai;Kano;Shanghai;1.0467
Tokio;Montreal;Tokio;2.1684
Tokio;Wuhan;Tokio;1.0569
Montreal;Santiago;Santiago;2.6789
Tianjin;Durban;Durban;3.0814
Tianjin;Kano;Kano;1.1054
Santiago;Shanghai;Shanghai;2.2240
Santiago;Tokio;Tokio;4.6173
Seoul;London;Seoul;1.0066
