# {'semester': 'NA', 'session': 'ses08-0.txt', 'student': 'n', 'age': '23', 'tstamp': '20160622_1921', 'id': '08', 'sex': 'm'}
city_left;city_right;response;rt
London;Harbin;London;0.9215
Seoul;Santiago;Seoul;1.5522
Bangkok;Seoul;Bangkok;1.8049
Kano;Seoul;Seoul;0.9707
Busan;Ibadan;Busan;2.0019
Tokio;Bangkok;Bangkok;3.0328
Tokio;Tianjin;Tokio;2.4810
Kano;Santiago;Santiago;0.8532
Ibadan;Wuhan;Wuhan;4.9442
London;Shanghai;Shanghai;2.6333
Ibadan;Bangkok;Bangkok;1.0878
Bangkok;Montreal;Bangkok;1.3488
Tianjin;Seoul;Seoul;2.2788
Kano;London;London;0.7895
Santiago;Harbin;Santiago;2.0584
Durban;Chongqing;Chongqing;0.8602
Ankara;Kano;Ankara;4.1250
Santiago;Chongqing;Chongqing;1.3007
Rangun;Ankara;Ankara;2.5839
Bangkok;Kano;Bangkok;0.9672
London;Busan;London;2.4700
Busan;Tokio;Tokio;0.9239
Tianjin;London;London;1.3655
Harbin;Durban;Harbin;2.4111
Wuhan;Rangun;Rangun;1.7905
Ibadan;Tianjin;Ibadan;1.5189
Rangun;Harbin;Harbin;1.5125
Wuhan;Montreal;Montreal;1.8830
Santiago;Rangun;Santiago;1.4342
Tianjin;Santiago;Santiago;1.9393
Tianjin;Durban;Tianjin;1.5938
Ankara;Tianjin;Ankara;2.2888
Chongqing;Tokio;Tokio;1.1730
Montreal;Santiago;Montreal;2.8709
Durban;Rangun;Rangun;2.8195
Tianjin;Chongqing;Tianjin;2.2958
