# {'semester': '6 (Master)', 'session': 'ses09-0.txt', 'student': 'y', 'age': '26', 'tstamp': '20160627_1558', 'id': '09', 'sex': 'w'}
city_left;city_right;response;rt
Chongqing;Ibadan;Chongqing;2.1522
Montreal;London;London;3.3377
Shanghai;Kano;Shanghai;2.6397
Santiago;Shanghai;Shanghai;3.9672
Tokio;Bangkok;Tokio;3.9742
Harbin;Ankara;Ankara;1.6454
Wuhan;Montreal;Montreal;2.1132
Ankara;Wuhan;Ankara;4.2519
Ankara;Seoul;Ankara;2.4008
Kano;Montreal;Montreal;1.1051
Ankara;London;Ankara;5.3207
Durban;Santiago;Santiago;1.9109
Ibadan;Tianjin;Ibadan;2.6811
Chongqing;Busan;Busan;2.6473
Harbin;Shanghai;Shanghai;1.5907
Rangun;Shanghai;Shanghai;1.0923
Tianjin;Montreal;Montreal;2.3801
Ibadan;Bangkok;Bangkok;1.2691
Kano;Chongqing;Chongqing;1.9109
Bangkok;Kano;Bangkok;1.9530
Harbin;Tokio;Tokio;1.0098
Shanghai;Bangkok;Bangkok;6.8604
